product_id,skin_tone,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P378219,light,0.968360185623169,1,0.9944120049476624,1,0.9813584685325623,1,,0,0.18503248759467775,6,0.4762525176629424,2,0.9431284964084625,0.7394937351346016,0.9788464109102885,0.2734871804714203,0.3778333414695226,0.4762525176629424,0.02523168921470642,0.25491826981306076,0.0025120576222738,,-0.19280085387484483,0.0,White Lucent Power Brightening Mask,True,True,True
P378219,lightMedium,0.984063982963562,1,,0,,0,,0,,0,,0,0.9431284964084625,0.7394937351346016,0.9788464109102885,0.2734871804714203,0.3778333414695226,0.4762525176629424,0.04093548655509949,,,,,,White Lucent Power Brightening Mask,True,False,False
P378219,medium,0.8291663527488708,1,0.49270854890346527,2,,0,0.2734871804714203,1,0.643796980381012,1,,0,0.9431284964084625,0.7394937351346016,0.9788464109102885,0.2734871804714203,0.3778333414695226,0.4762525176629424,-0.11396214365959167,-0.24678518623113632,,0.0,0.2659636389114894,,White Lucent Power Brightening Mask,True,True,True
P378219,mediumTan,,0,,0,0.9691173434257507,1,,0,,0,,0,0.9431284964084625,0.7394937351346016,0.9788464109102885,0.2734871804714203,0.3778333414695226,0.4762525176629424,,,-0.009729067484537723,,,,White Lucent Power Brightening Mask,True,False,False
P378219,tan,,0,,0,,0,,0,,0,,0,0.9431284964084625,0.7394937351346016,0.9788464109102885,0.2734871804714203,0.3778333414695226,0.4762525176629424,,,,,,,White Lucent Power Brightening Mask,True,False,False
P379707,deep,0.671165065219005,3,0.9896855354309082,1,0.9538871943950653,4,0.690083771944046,2,0.35564520658226684,6,0.8316453993320465,4,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,-0.05049089166186371,0.1665380205014152,0.1922739920742177,-0.004744648540185525,-0.17336138680446234,0.061917739938091465,Resurfacing BHA Glow Mask,True,True,True
P379707,fair,0.652373179458831,29,0.8120115611347414,42,0.7644197716515257,33,0.5459140514632543,13,0.5648092953876283,26,0.7321199449151754,25,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,-0.0692827774220377,-0.01113595379475163,0.0028065693306781325,-0.1489143690209772,0.03580270200089908,-0.03760771447877964,Resurfacing BHA Glow Mask,True,False,False
P379707,fairLight,0.8652379172188895,7,0.7525771774506818,15,0.8387771463569473,17,0.9443446894486746,6,0.672486179645228,17,0.7735918325118043,11,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,0.14358196033802084,-0.07057033747881125,0.07716394403609972,0.249516268964443,0.14347958625849888,0.0038641731178492567,Resurfacing BHA Glow Mask,True,True,False
P379707,light,0.8063726061849262,44,0.8237992310343543,40,0.7140428360241154,36,0.7568413080647588,10,0.5465029852303604,39,0.8454003896927689,41,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,0.08471664930405753,0.0006517161048612552,-0.04757036629673217,0.062012887580527254,0.017496391843631276,0.07567273029881383,Resurfacing BHA Glow Mask,False,False,False
P379707,lightMedium,0.8408678424938654,26,0.8678295388549137,26,0.8370351342018694,24,0.7020850978093222,10,0.5342100626957189,27,0.6825737101449207,22,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,0.11921188561299667,0.044682023925420644,0.07542193188102175,0.00725667732509061,0.005203469308989739,-0.0871539492490343,Resurfacing BHA Glow Mask,True,False,False
