brand_name,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,sentiment_label_mean,sentiment_label_count,rating_mean,rating_count
Caudalie,0.7902503064728242,1215,0.7573148782717859,1000,0.7608165933249408,1010,0.6944515924963998,286,0.6226240568912135,303,0.8119828735403665,534,1.7956131605184447,3009,4.470255898969757,3009
Charlotte Tilbury,0.770321819423911,51,0.4909447439282235,18,0.41894193783868106,25,0.4205341736475627,6,0.3334353426963879,39,0.2580518328002654,10,1.3642384105960266,151,3.6688741721854305,151
Clarins,0.80031657298697,200,0.7488415051584398,167,0.7961938327573921,310,0.6982482098601759,50,0.6488596198375669,69,0.777398111638225,116,1.8229166666666667,768,4.520833333333333,768
Community Sixty-Six,0.6801817011173674,318,0.5792841251844851,125,0.40786427697566313,237,0.5529286983428159,104,0.5815222024629336,42,0.5344286594294934,253,1.5357142857142858,616,3.8279220779220777,616
DAMDAM,0.8802150644823938,168,0.8960119801015289,99,0.8161441211095628,85,0.8742070187415395,28,0.6790366287935864,22,0.8436933942168998,52,1.9565217391304348,368,4.758152173913044,368
Dermalogica,0.8176751549837447,2441,0.7990245449855524,1555,0.7035551181275993,1225,0.7040819195459147,492,0.5384706676993523,459,0.792167285160803,978,1.863768115942029,4485,4.546488294314381,4485
Dior,0.7902958965008509,791,0.7170131440215668,358,0.6839073868007177,735,0.6425932665379217,180,0.4876431543646114,210,0.8511457015977142,397,1.8730420445177247,1213,4.506183017312448,1213
Dr. Barbara Sturm,0.7862806407354932,99,0.6480566906871569,97,0.661937691399362,20,0.6666808299739689,40,0.4998277190167562,83,0.7857197696076972,28,1.5866666666666667,225,4.137777777777778,225
Dr. Brandt Skincare,0.7982297215081561,1132,0.6874321525628527,493,0.6415573122256176,544,0.582451310625294,107,0.5351386211523697,260,0.7617806274936819,509,1.7483741870935467,1999,4.347673836918459,1999
Dr. Dennis Gross Skincare,0.7876345537162859,618,0.7456307621835698,354,0.7335585518214371,248,0.5980423806619459,123,0.5862064529831211,135,0.6237281534670833,214,1.6902017291066282,1388,4.296109510086455,1388
Dr. Jart+,0.8126134346371976,2732,0.7461788580292558,1469,0.7012235665710709,558,0.6055486999202873,227,0.6053694968643102,489,0.7092127806705861,1030,1.7818864939687562,5057,4.396480126557248,5057
Dr. Zenovia Skincare,0.8221613711540333,1007,0.7676908336101297,803,0.7865473685128598,468,0.6589029083903669,263,0.5635934425210006,184,0.8505013724700428,551,1.8882506527415144,1915,4.5295039164490865,1915
Drunk Elephant,0.682191845672457,3060,0.6364122901110018,2796,0.5667691407253622,929,0.5945053946001428,1025,0.5382264850462192,1610,0.626856926891872,1260,1.5761470093682441,8326,4.076747537833294,8326
Estée Lauder,0.7756000070151269,4473,0.6595909647019916,1458,0.5854545609762384,2211,0.5894420743563885,687,0.3927124187489796,1990,0.7874924929565077,3339,1.7095251853992102,10383,4.1361841471636325,10383
FOREO,0.8323892631158074,39,0.5580036165857953,7,0.6116841379262041,8,,0,0.7533044588680451,13,0.5540457324978585,15,1.7375,80,4.35,80
FaceGym,0.8679432245488796,84,0.8026552346284286,26,0.7339343016430961,33,0.8179399618429357,29,0.3719189912080765,4,0.9153059124946594,48,1.9189189189189189,148,4.72972972972973,148
Farmacy,0.742369194471584,2806,0.6848901084589035,1215,0.6546713205005357,1726,0.6479155519483655,434,0.5691403194584007,340,0.7007554928538443,1549,1.6806245564229951,4227,4.2902767920511,4227
Fenty Skin,0.7721866724100531,744,0.6722568282613584,307,0.6532248115028179,612,0.49116591379282304,384,0.4823316668101286,152,0.6553434486352507,416,1.6873879258816498,1673,4.249252839210998,1673
First Aid Beauty,0.7266482727928293,10768,0.7251327516949242,7014,0.6218005061943912,2512,0.6601262598464556,1352,0.69115656870682,2287,0.770223968565575,3936,1.7583610056925996,16864,4.420955882352941,16864
GUERLAIN,0.03323843330144882,1,,0,0.4063414931297302,1,,0,,0,0.006086189765483141,1,1.0,1,3.0,1
Glossier,0.7426189633832244,54,0.6979160347008005,33,0.6137364873747256,33,0.5477534971208099,19,0.3694317471870983,11,0.7227276650523075,26,1.6115702479338843,121,4.12396694214876,121
Glow Recipe,0.7848058421264424,2219,0.7100823153520629,1256,0.7253190189410927,2431,0.5906884643010083,945,0.5130368376746633,383,0.7423556391249279,1107,1.6754681647940075,5340,4.240074906367041,5340
HUM Nutrition,0.699047854274977,5,,0,,0,0.2925217788045605,3,0.29649783540517094,5,0.48547322914237157,2,1.5,18,3.7777777777777777,18
Hanni,0.8612674383464064,71,0.7138493602784971,33,0.7831078972989611,53,0.8460652163738142,23,0.0960996716748923,5,0.655165610421035,9,1.9013157894736843,152,4.697368421052632,152
Herbivore,0.7066905830582103,401,0.7225381635463368,1091,0.5104695748909565,841,0.5371843190334072,114,0.6653152606654011,331,0.7237977067759656,288,1.668505516549649,1994,4.2592778335005015,1994
Hourglass,0.8666819621806806,96,0.8586212660333044,19,0.6790175761561841,19,0.7509636528324336,20,0.5291250044814287,26,0.8059231579230216,38,1.821917808219178,146,4.4520547945205475,146
Hyper Skin,0.8062682718560664,55,0.7988246041867467,57,0.8496112913075511,46,0.6298921597411945,28,0.602650897577405,5,0.910611732225669,38,1.8875,160,4.6125,160
INC.redible,0.6821680116088829,40,0.7281667813658714,6,0.770543395774439,6,0.43271930342806236,14,0.6196923955493341,28,0.8729045629501343,5,1.490566037735849,106,3.8773584905660377,106
IT Cosmetics,0.780036249605453,581,0.7613283157199113,177,0.7653858806453816,164,0.7578101346998786,100,0.5896104880860852,60,0.807763738870318,258,1.8016147635524797,867,4.522491349480969,867
JLo Beauty,0.7282663185419794,305,0.6596813996291785,124,0.6251553826718153,237,0.4495085759719627,165,0.31924138015965065,141,0.6713673064598901,86,1.6388059701492537,670,4.059701492537314,670
Jack Black,0.29861864969134333,5,0.7854185029864311,4,0.3551323999417946,2,0.49220306022713584,2,0.9827553629875183,1,0.9370536506175995,2,1.75,8,4.25,8
Josie Maran,0.7817869193329311,252,0.7448051457178201,151,0.639702290509887,406,0.6840299291894413,65,0.5377190028039667,26,0.7566393670810974,73,1.7581120943952802,678,4.244837758112094,678
KORA Organics,0.820069949529131,569,0.6383167481554284,500,0.7228182715102713,515,0.7683935716641975,344,0.5967736425124333,158,0.6945609541943151,238,1.6990664470071388,1821,4.28720483250961,1821
KORRES,0.8017883055653429,4259,0.76069981461218,2056,0.7526431061123763,2934,0.691139155030981,340,0.6519947603957292,447,0.8159966300447494,1740,1.84692581300813,7872,4.47192581300813,7872
Kate Somerville,0.7550118841607689,919,0.7230980826074824,1168,0.6795849655645486,601,0.6941199345320632,243,0.5764621482771745,345,0.7726533726277636,279,1.7158992180712425,2302,4.3449174630755865,2302
Kiehl's Since 1851,0.7765231017605467,1914,0.7319431225648033,1047,0.6305044625275356,568,0.6168131690422046,182,0.6610668791150596,436,0.705251617393345,815,1.7746793084216397,3586,4.4224762967094255,3586
LANEIGE,0.7116660272129384,10871,0.6697608988682332,1157,0.7198541290303678,5513,0.6042455812428225,1061,0.6132735746200741,2775,0.6951408804049474,3217,1.7116707344131352,18028,4.363101841579764,18028
La Mer,0.7495376384251544,150,0.565481550789858,71,0.6115164717669056,40,0.6700870395423129,13,0.5091644464392271,99,0.6655795641372035,67,1.5390334572490707,269,4.003717472118959,269
Lancôme,0.819596626101045,1820,0.6753179648583334,564,0.696656177430606,1198,0.6291426705201724,208,0.5347429159262365,278,0.8070549050831081,980,1.7940246045694201,2845,4.399297012302284,2845
MACRENE actives,0.9452695219129648,23,0.9235649870501624,18,0.8322829753160477,11,0.9044472904254993,12,0.6497060552771602,7,0.8676501555102212,14,2.0,55,4.927272727272728,55
MILK MAKEUP,0.8315460306697451,476,0.7643189312872924,315,0.6503464626791252,303,0.7604043252261451,181,0.5894783895255791,75,0.7791337163437919,155,1.8284789644012944,927,4.458468176914779,927
Mario Badescu,0.7060057412546112,79,0.6058142260979967,107,0.5785725315863436,55,0.6130348075336466,18,0.6500277048869368,30,0.6376021610742527,27,1.4612244897959183,245,3.8816326530612244,245
Moon Juice,0.8077410942857602,27,0.8737003381053606,15,0.6599031171321662,24,0.892207995429635,5,0.37060717586427927,4,0.8696294296532869,12,1.7708333333333333,48,4.395833333333333,48
Mount Lai,0.8456760235651464,79,0.6045633387067496,22,0.5377472356835759,92,0.4133241217997339,9,0.33640874752944167,11,0.6364263746478943,74,1.74375,160,4.0875,160
Murad,0.7067683111544523,3492,0.689593370006788,4895,0.7270844783042569,897,0.6593830402526782,663,0.6625495688355123,979,0.7658121767469036,626,1.7351443123938879,8835,4.335710243350311,8835
NUDESTIX,0.7713341449587461,64,0.6933169411005158,19,0.725534504194698,54,0.7438892122091991,14,0.5524900751188397,8,0.8402872059448827,41,1.7972972972972974,74,4.27027027027027,74
Naturally Serious,0.8275885262421905,109,0.7960973155633029,54,0.7506830859663103,86,0.7500561569662144,12,0.6846180585297671,11,0.8031393971759826,24,1.7720207253886011,193,4.4404145077720205,193
NuFACE,0.8686039693550103,12,0.7236074805259705,1,0.9599516987800598,1,0.5454254592768848,8,0.1651886130372683,3,0.7132971488754265,8,1.7272727272727273,22,4.318181818181818,22
OLEHENRIKSEN,0.7828594848178785,4085,0.6719874129272896,2381,0.7872143928176534,4359,0.7250375152410363,871,0.5922626474799881,723,0.7365432582943525,1960,1.7849953304970427,9637,4.38653107813635,9637
Origins,0.7210903265974145,4787,0.6879866585369238,4816,0.781147694517468,3519,0.6676797407926107,1088,0.6657206252006435,1510,0.7229238445479272,1371,1.7696589125160553,14014,4.382046524903668,14014
PROVEN Skincare,0.6691029574885754,100,0.5990704352636268,73,0.5685540108039112,59,0.5490399281558234,34,0.35814336914215045,32,0.6551961809856861,42,1.736842105263158,209,4.339712918660287,209
Paula's Choice,0.7995391259434093,211,0.7577595177662484,230,0.7803275993093848,60,0.7675667213310381,61,0.5879187265527435,44,0.8814230295101133,130,1.8214971209213051,521,4.543186180422265,521
Peace Out,0.83081174917951,269,0.7544038954101302,207,0.40756520073026953,102,0.544176229412313,53,0.7501401361560721,41,0.7842780335850568,121,1.7849462365591398,465,4.419354838709677,465
Peter Thomas Roth,0.6805169408151878,4502,0.7040547462279855,5092,0.7027548502287453,1786,0.6664452483084357,1354,0.6566933766132932,2104,0.7283525662578295,951,1.7400750234448266,12796,4.373241638011879,12796
RANAVAT,0.8840929488803301,92,0.7406943582131394,28,0.8242483333314714,68,0.67159595940676,9,0.25198005852289496,10,0.8588685325036446,24,1.8323699421965318,173,4.468208092485549,173
REN Clean Skincare,0.7597420962478976,767,0.6988047365338579,1021,0.6804693069596897,606,0.6627357297342248,247,0.6053786851443599,309,0.6835741674439872,425,1.7726141078838173,2410,4.4004149377593365,2410
ROSE INC,0.8786531657810459,160,0.7572896969541034,32,0.7867738001029162,48,0.6709053995553405,20,0.6012053918287469,12,0.8186520147188595,106,1.8835978835978835,189,4.656084656084656,189
ROSE Ingleton MD,0.9032101409716738,9,0.8417514388759931,6,0.6584133577998728,3,,0,0.9496080875396729,1,0.9919896572828293,4,1.9285714285714286,14,4.714285714285714,14
SEPHORA COLLECTION,0.7690535061218663,1413,0.7124676197587051,688,0.6434673944084136,1083,0.6155967581620697,184,0.7053801462948549,720,0.6268200140898704,522,1.64068489649885,3913,4.16994633273703,3913
SK-II,0.7242920168887007,632,0.6723824194795069,284,0.6286378040896531,387,0.6181089836624858,103,0.4805748582281528,486,0.6325605383829016,205,1.6886058032554847,1413,4.194621372965322,1413
SOBEL SKIN Rx,0.6376596006919585,35,0.8441939464211464,25,0.669394888358671,53,0.48416745223463903,16,0.41552413564006035,22,0.8446762759719665,50,1.7424242424242424,132,4.159090909090909,132
Saint Jane Beauty,0.8831931929604184,72,0.6502872339068108,49,0.9003011939826254,39,0.6620275008622124,43,0.5126925084347788,19,0.822137179023678,71,1.7186147186147187,231,4.393939393939394,231
Shani Darden Skin Care,,0,0.8692783117294312,1,,0,,0,0.5578041076660156,2,0.822378933429718,1,1.5,4,3.75,4
Shiseido,0.7475897762059025,214,0.6653531368905937,84,0.6141828357208534,44,0.44209288330083446,14,0.5839382646873559,225,0.5632560299165325,46,1.7066473988439306,692,4.322254335260116,692
Skin Laundry,0.8506313016017278,6,0.5239320993423462,1,0.60377237200737,2,0.005664490163326263,1,0.497778381453827,2,0.49309488479048014,2,1.5833333333333333,12,4.083333333333333,12
Skinfix,0.7984450636815349,1506,0.772647986886994,1211,0.6513910536249761,372,0.7522500731862584,389,0.5268748562190438,185,0.8507987182333908,624,1.7851592851592852,2574,4.478243978243978,2574
Slip,0.6302521681146962,14,0.753220015700208,8,0.8551377654075623,1,0.6886869744796839,7,0.43966013543066323,45,0.7036376228934387,16,1.3863636363636365,176,3.7670454545454546,176
St. Tropez,0.7451661559423864,33,0.5490066556527313,9,0.6079748663837197,29,0.7194082086373653,7,0.5813111136085354,22,0.7507761749015613,11,1.4964028776978417,139,4.0215827338129495,139
StriVectin,0.8961501890607424,63,0.5260814483781966,20,0.7268492673834165,15,0.5113778845407069,4,0.350305985376638,7,0.9129439799597237,47,1.8850574712643677,87,4.7011494252873565,87
Sulwhasoo,0.8717340915097951,582,0.7761470839503664,341,0.7037800268560405,602,0.7007386730700228,301,0.605785949263035,184,0.8180379334632761,205,1.819341840161182,1489,4.509738079247818,1489
Summer Fridays,0.7592884498983081,8106,0.5974019581378154,2844,0.6945973960095213,2356,0.6220241870095027,1526,0.47295683650988724,1396,0.7057202829467796,2799,1.5817191283292977,11564,4.090626080940851,11564
Sunday Riley,0.7058383051211307,420,0.6896772581388452,336,0.549094400638569,240,0.39731921191883485,174,0.44834598049320845,183,0.6495711207727034,145,1.4585319351763584,1049,3.7797902764537654,1049
TULA Skincare,0.7461478004727001,416,0.6678649991346726,297,0.5279231873840926,681,0.6421609758531821,170,0.5838959445682529,119,0.7476243365109921,218,1.6138698630136987,1168,4.029965753424658,1168
Tata Harper,0.7282165259723428,1057,0.7107972262296071,1099,0.6509591421383575,1296,0.6222143589762078,500,0.5304384329057082,1002,0.6971735542849568,442,1.6447157083199486,3113,4.186957918406682,3113
Tatcha,0.7636929912866612,6694,0.7123986356858015,4279,0.7250986558054945,4067,0.5284075067436087,2667,0.5469933060528995,2936,0.6865736217774976,2825,1.7152598017551612,15839,4.324894248374266,15839
The INKEY List,0.7513725963876614,952,0.7352300875831643,1153,0.6711890791153964,382,0.6123907620624618,236,0.6997180547640293,489,0.695802645441924,243,1.7647907647907648,2772,4.348484848484849,2772
The Nue Co.,0.9931316822767258,4,0.9919508695602417,1,0.9879387617111206,1,0.9867145419120789,1,0.9820528626441956,1,0.9871727228164673,1,2.0,11,5.0,11
The Ordinary,0.7828152513820823,364,0.6653598468779202,267,0.5991155971045373,80,0.4515953053499592,112,0.5793625070348656,212,0.6297692727768749,105,1.544378698224852,1014,4.003944773175542,1014
