product_id,skin_type,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P411360,combination,0.7307839000908037,21,0.6947409578004025,6,0.46753489281982186,5,,0,0.33516540299169717,10,0.6600160960418483,3,0.7630624117769508,0.742414717960249,0.5924636076337525,0.38429266307502985,0.39334565909978536,0.6858801462687552,-0.03227851168614704,-0.04767376015984659,-0.12492871481393064,,-0.05818025610808819,-0.025864050226906854,Hyaluronic Marine Hydrating Modeling Mask,True,False,False
P411360,dry,0.6402975012149129,7,,0,,0,0.7390477657318115,1,0.006635298021137714,1,0.7414265275001526,1,0.7630624117769508,0.742414717960249,0.5924636076337525,0.38429266307502985,0.39334565909978536,0.6858801462687552,-0.12276491056203787,,,0.3547551026567817,-0.38671036107864765,0.055546381231397435,Hyaluronic Marine Hydrating Modeling Mask,True,True,False
P411360,normal,0.9921916723251343,5,0.8854359984397888,2,0.9737185835838318,1,,0,0.5764055773615837,2,0.7079259157180786,1,0.7630624117769508,0.742414717960249,0.5924636076337525,0.38429266307502985,0.39334565909978536,0.6858801462687552,0.2291292605481835,0.14302128047953977,0.3812549759500793,,0.18305991826179835,0.02204576944932346,Hyaluronic Marine Hydrating Modeling Mask,True,True,False
P411360,oily,0.8935813506444296,3,,0,0.8358522057533264,1,0.029537560418248177,1,0.9957387447357178,1,,0,0.7630624117769508,0.742414717960249,0.5924636076337525,0.38429266307502985,0.39334565909978536,0.6858801462687552,0.13051893886747878,,0.24338859811957392,-0.3547551026567817,0.6023930856359324,,Hyaluronic Marine Hydrating Modeling Mask,True,True,False
P411387,combination,0.7089492095807983,1246,0.7073775062350083,1016,0.757189786831949,1004,0.6258774401641082,797,0.5084813979958183,437,0.6952808491423087,176,0.707000120253003,0.695201058442878,0.7552121392874286,0.6098559883072127,0.5134761935054293,0.6815613920285565,0.0019490893277953614,0.01217644779213023,0.0019776475445204555,0.01602145185689552,-0.004994795509611016,0.01371945711375222,Superfood Antioxidant Cleanser,False,False,False
P411387,dry,0.6798228430219303,574,0.6650392996627517,342,0.7262298775380588,350,0.5806600722203257,256,0.5449633570142874,133,0.7086753055696039,47,0.707000120253003,0.695201058442878,0.7552121392874286,0.6098559883072127,0.5134761935054293,0.6815613920285565,-0.02717727723107266,-0.03016175878012639,-0.028982261749369798,-0.029195916086886986,0.03148716350885816,0.02711391354104742,Superfood Antioxidant Cleanser,False,False,False
P411387,normal,0.7606219179367086,253,0.6750896666214947,170,0.7952902030935447,240,0.5778124385527006,165,0.5116306570817271,117,0.5875546831055545,40,0.707000120253003,0.695201058442878,0.7552121392874286,0.6098559883072127,0.5134761935054293,0.6815613920285565,0.053621797683705674,-0.02011139182138333,0.040078063806116115,-0.03204354975451207,-0.001845536423702221,-0.094006708923002,Superfood Antioxidant Cleanser,False,False,False
P411387,oily,0.7055685152320792,276,0.699759543913226,299,0.749275139954555,246,0.6098160042752123,194,0.5000240179610306,133,0.6837216941034187,33,0.707000120253003,0.695201058442878,0.7552121392874286,0.6098559883072127,0.5134761935054293,0.6815613920285565,-0.0014316050209237652,0.004558485470347984,-0.005936999332873616,-3.998403200033973e-05,-0.013452175544398703,0.002160302074862175,Superfood Antioxidant Cleanser,False,False,False
P412025,combination,0.5135316786967451,40,0.7676004538778216,5,0.9282504121462504,3,0.40355892663893217,13,0.6136147304722624,33,0.2801201064971143,7,0.5812641672395034,0.8879504641729661,0.7902463333060344,0.39838942926790977,0.5841936654652711,0.36914653128769714,-0.06773248854275826,-0.12035001029514447,0.13800407884021593,0.005169497371022402,0.029421065006991376,-0.08902642479058287,Cucumber De-Tox Hydra-Gel Eye Patches,True,False,False
P412025,dry,0.5708550093353123,17,0.9891184449195862,5,,0,0.04034321440849453,2,0.5900456110830419,14,,0,0.5812641672395034,0.8879504641729661,0.7902463333060344,0.39838942926790977,0.5841936654652711,0.36914653128769714,-0.010409157904191058,0.10116798074662015,,-0.35804621485941523,0.005851945617770804,,Cucumber De-Tox Hydra-Gel Eye Patches,True,True,False
